state,name,place_id,google_maps_url,website,formatted_address,latitude,longitude,phone_number,scorecard_url,scorecard_source_page,scorecard_match_text
NC,Carolina Golf at Botany Woods,ChIJ0ZKH5yYsWIgRq8vidyP_fpo,https://maps.google.com/?cid=11132615856706735019&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://carolinagolfbw.com/,"1409 Edwards Rd, Greenville, SC 29615, USA",34.8887484,-82.3318508,(864) 244-6702,,,
NC,Grandover East Golf Course,ChIJ2VFK9y0RU4gRoZjpYphZt6U,https://maps.google.com/?cid=11941111448025536673&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://grandoverresort.com/golf/,"Greensboro, NC 27407, USA",35.993671,-79.8788529,,,,
VA,West Point Country Club,ChIJ2eyktkyVsIkRGtECwSMeNNE,https://maps.google.com/?cid=15074706991626768666&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://ccofwp.com/,"4200 Southern Ave, West Point, VA 23181, USA",37.5589449,-76.8263257,(804) 396-4394,,,
NC,Little River Condos/Ring The Pines,ChIJ34Pqb36yVIgR60ZpEbWcC_E,https://maps.google.com/?cid=17369148689379575531&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.littleriver.com/,"520 Little River Farm Blvd, Carthage, NC 28327, USA",35.272189,-79.42732149999999,(866) 994-7682,,,
VA,Victoria Golf Club,ChIJ3RClFNAXsokR8wWAjJo_jVE,https://maps.google.com/?cid=5876423021803079155&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,"4086 Poorhouse Rd, Victoria, VA 23974, USA",36.99816380000001,-78.186892,(434) 696-7448,,,
VA,Fredericksburg Country Club,ChIJ43Fo5KvDtokRBOF1zn-irwU,https://maps.google.com/?cid=409724760922382596&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.fredclub.org/,"11031 Tidewater Trail, Fredericksburg, VA 22408, USA",38.2646746,-77.4270768,(540) 373-8781,https://www.fredclub.org/scorecard,http://www.fredclub.org/golf,Click here
,The Creek Golf Course at Hard Labor Creek,ChIJ496F7KPU9YgRD2OKv40tI4E,https://maps.google.com/?cid=9305331341904732943&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://gastateparks.org/TheCreek,"1400 Knox Chapel Rd, Social Circle, GA 30025, USA",33.6592668,-83.60986430000001,(706) 557-3006,,,
NC,Cateechee Hotel and Lodging – Lake Hartwell,ChIJ5XsEewyAWIgRIfuJX7ZXXdU,https://maps.google.com/?cid=15374541143711284001&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://cateechee.com/accommondations/,"140 Cateechee Trail, Hartwell, GA 30643, USA",34.322509,-82.913038,(706) 856-4653,,,
NC,Ryder Golf Course @ Fort Bragg,ChIJ5bvOkSVqq4kRZZOgt6CmwEU,https://maps.google.com/?cid=5026200393351205733&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://liberty.armymwr.com/programs/fort-bragg-golf,"5625 Normandy Dr, Fayetteville, NC 28307, USA",35.1430656,-78.9903246,(910) 907-4653,,,
VA,Lee's Hill Golf Club,ChIJ66Wm0VDBtokRY6asjYIYwyM,https://maps.google.com/?cid=2576930360787773027&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.leeshillgc.com/,"10200 Old Dominion Pkwy Bldg, Fredericksburg, VA 22408, USA",38.2370096,-77.4794282,(540) 891-0111,http://www.leeshillgc.com/-yardage-book,http://www.leeshillgc.com/,Yardage Book
NC,Bear Lake Reserve Golf Club,ChIJ6UWcRXMOUYgRt-axG8nslZ4,https://maps.google.com/?cid=11427299978019727031&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,http://www.bearlakereserve.com/,"1540 Grandview Dr, Tuckasegee, NC 28783, USA",35.2211344,-83.0579465,(828) 293-5005,https://bearlakereserve.s3.us-east-2.amazonaws.com/Golf/BLR_250801_GolfScorecards_3.5x8_PRINT.pdf,http://www.bearlakereserve.com/golf,Scorecard
